text,label,category,source
Guaranteed daily profit of $250 with AI crypto trader. Sign up free: http://auth-kyc-desk.online/update,1,Crypto & Investment Fraud,synthetic_scam
"Simple online job: Watch videos and earn $2,500 daily. Register here: http://support-unlock-portal.net",1,Job & Task Scam,synthetic_scam
"Capital One: Unauthorized transfer of $10,000 to unknown account. Cancel now: http://auth-kyc-desk.online/update",1,Banking / KYC Fraud,synthetic_scam
Your verification code for Slack is 336156. Valid for 5 minutes. Do not share with anyone.,0,Legitimate Message,synthetic_ham
"Hi team, meeting notes from today's Backend Refactoring sync are uploaded to Drive.",0,Legitimate Message,synthetic_ham
"Hey, running about 10 minutes late due to traffic! See you shortly.",0,Legitimate Message,synthetic_ham
"Hi team, meeting notes from today's Backend Refactoring sync are uploaded to Drive.",0,Legitimate Message,synthetic_ham
"Hey Alex, are we still on for gym workout at 6:15 PM?",0,Legitimate Message,synthetic_ham
Thanks for dining with Chipotle! Your receipt for $39.50 has been emailed.,0,Legitimate Message,synthetic_ham
Your verification code for Apple ID is 815132. Valid for 5 minutes. Do not share with anyone.,0,Legitimate Message,synthetic_ham
"Hi Emily, I left the book on your desk. Let me know if you need anything else.",0,Legitimate Message,synthetic_ham
"Microsoft Security: Password reset requested. If this wasn't you, verify at http://support-unlock-portal.net",1,Phishing & Account Security,synthetic_scam
Your Instagram subscription has expired. Update billing details at http://tinyurl.com/fast-payout-2026 to keep access.,1,Phishing & Account Security,synthetic_scam
Hiring now: Part time remote assistant. Earn $500/day working from home. WhatsApp: +1-888-555-0199,1,Job & Task Scam,synthetic_scam
Double your Solana deposit in 24 hours. Send 0.5 Solana to receive 1.0 Solana at http://bit.ly/claim-reward-now,1,Crypto & Investment Fraud,synthetic_scam
"Canada Post: Your package delivery failed. Confirm address & pay $50,000 fee at http://auth-kyc-desk.online/update",1,Delivery & Package Scam,synthetic_scam
Your order from Nike has shipped! Estimated delivery: Friday. Track in app.,0,Legitimate Message,synthetic_ham
Guaranteed daily profit of $250 with AI crypto trader. Sign up free: http://tinyurl.com/fast-payout-2026,1,Crypto & Investment Fraud,synthetic_scam
"Hiring now: Part time remote assistant. Earn $50,000/day working from home. WhatsApp: +1-800-555-0144",1,Job & Task Scam,synthetic_scam
"Police Dept: Case filed against you for unpaid penalty of $1,200. Contact +44-20-7946-0912.",1,Threat & Impersonation Scam,synthetic_scam
Google Alert: Login attempt from London. Secure your account now at https://billing-resolution-portal.site,1,Phishing & Account Security,synthetic_scam
Microsoft Alert: Login attempt from Beijing. Secure your account now at http://support-unlock-portal.net,1,Phishing & Account Security,synthetic_scam
Can you send me the latest draft for the Mobile App Redesign presentation before 3 PM?,0,Legitimate Message,synthetic_ham
IRS Warning: Legal warrant #691670 issued for your arrest. Call +1-800-555-0144 immediately to settle.,1,Threat & Impersonation Scam,synthetic_scam
Thanks for ordering with DoorDash! Your driver John is on the way with your order from Chipotle.,0,Legitimate Message,curated_ham
Thanks for dining with Starbucks! Your receipt for $180.50 has been emailed.,0,Legitimate Message,synthetic_ham
Your Microsoft subscription has expired. Update billing details at https://billing-resolution-portal.site to keep access.,1,Phishing & Account Security,synthetic_scam
Your verification code for Apple ID is 227501. Valid for 5 minutes. Do not share with anyone.,0,Legitimate Message,synthetic_ham
Reminder: Doctor appointment with Dr. Brown on Wednesday at 12:30 PM.,0,Legitimate Message,synthetic_ham
"You have unclaimed rewards of $1,200. Withdraw to your account at http://auth-kyc-desk.online/update",1,Lottery & Prize Scam,synthetic_scam
Your verification code for Google is 637533. Valid for 5 minutes. Do not share with anyone.,0,Legitimate Message,synthetic_ham
"Hey Emily, are we still on for the movie at 6:15 PM?",0,Legitimate Message,synthetic_ham
Binance Alert: Your withdrawal of 2.45 BTC is pending. Click http://binance-release-wallet.com to approve or reject the transaction.,1,Crypto & Investment Fraud,curated_scam
IRS Warning: Legal warrant #806998 issued for your arrest. Call +91-9876543210 immediately to settle.,1,Threat & Impersonation Scam,synthetic_scam
"DHL: Your package delivery failed. Confirm address & pay $50,000 fee at http://auth-kyc-desk.online/update",1,Delivery & Package Scam,synthetic_scam
Your order from Best Buy has shipped! Estimated delivery: tomorrow. Track in app.,0,Legitimate Message,synthetic_ham
Royal Mail: Your package delivery failed. Confirm address & pay $250 fee at https://billing-resolution-portal.site,1,Delivery & Package Scam,synthetic_scam
Your PayPal subscription has expired. Update billing details at http://bit.ly/claim-reward-now to keep access.,1,Phishing & Account Security,synthetic_scam
Your Facebook subscription has expired. Update billing details at http://tracking-reschedule-post.top to keep access.,1,Phishing & Account Security,synthetic_scam
Thanks for dining with Starbucks! Your receipt for $161.50 has been emailed.,0,Legitimate Message,synthetic_ham
Can you please pick up some milk and eggs on your way back from the office?,0,Legitimate Message,curated_ham
Reminder: Doctor appointment with Dr. Williams on Thursday at 7:30 PM.,0,Legitimate Message,synthetic_ham
Guaranteed daily profit of $1.5 with AI crypto trader. Sign up free: http://secure-verify-account.xyz/login,1,Crypto & Investment Fraud,synthetic_scam
"Police Dept: Case filed against you for unpaid penalty of $2,500. Contact +1-917-555-0182.",1,Threat & Impersonation Scam,synthetic_scam
KuCoin: Pending withdrawal of 1.5 USDT. Confirm or cancel at http://tinyurl.com/fast-payout-2026,1,Crypto & Investment Fraud,synthetic_scam
Reminder: Doctor appointment with Dr. Patel on Monday at 10:00 AM.,0,Legitimate Message,synthetic_ham
"Hey, do you want to grab coffee this afternoon? I'll be in the building until 4 PM.",0,Legitimate Message,curated_ham
"Police Dept: Case filed against you for unpaid penalty of $50,000. Contact +44-20-7946-0912.",1,Threat & Impersonation Scam,synthetic_scam
"Hi team, meeting notes from today's Q3 Marketing Plan sync are uploaded to Drive.",0,Legitimate Message,synthetic_ham
"HDFC: Unauthorized transfer of $50,000 to unknown account. Cancel now: http://tinyurl.com/fast-payout-2026",1,Banking / KYC Fraud,synthetic_scam
"Simple online job: Watch videos and earn $10,000 daily. Register here: http://support-unlock-portal.net",1,Job & Task Scam,synthetic_scam
"KuCoin: Pending withdrawal of 2,500 ETH. Confirm or cancel at https://billing-resolution-portal.site",1,Crypto & Investment Fraud,synthetic_scam
Your order from Amazon has shipped! Estimated delivery: Thursday. Track in app.,0,Legitimate Message,synthetic_ham
"Dropbox Security: Password reset requested. If this wasn't you, verify at http://auth-kyc-desk.online/update",1,Phishing & Account Security,synthetic_scam
Your monthly electric bill of $153.50 has been paid via automatic debit.,0,Legitimate Message,synthetic_ham
"Dropbox Security: Password reset requested. If this wasn't you, verify at http://tinyurl.com/fast-payout-2026",1,Phishing & Account Security,synthetic_scam
"Hey James, are we still on for the movie at 6:15 PM?",0,Legitimate Message,synthetic_ham
Microsoft Alert: Login attempt from Bucharest. Secure your account now at http://support-unlock-portal.net,1,Phishing & Account Security,synthetic_scam
Your monthly electric bill of $25.50 has been paid via automatic debit.,0,Legitimate Message,synthetic_ham
Reminder: Doctor appointment with Dr. Garcia on Wednesday at 7:30 PM.,0,Legitimate Message,synthetic_ham
"Coinbase: Pending withdrawal of 2,500 Solana. Confirm or cancel at https://billing-resolution-portal.site",1,Crypto & Investment Fraud,synthetic_scam
"Congratulations! You won $2,500 in Tech Promo Draw. Claim your prize at http://support-unlock-portal.net",1,Lottery & Prize Scam,synthetic_scam
"Hey, running about 10 minutes late due to traffic! See you shortly.",0,Legitimate Message,synthetic_ham
Thanks for dining with Sweetgreen! Your receipt for $72.50 has been emailed.,0,Legitimate Message,synthetic_ham
Can you send me the latest draft for the Q3 Marketing Plan presentation before 3 PM?,0,Legitimate Message,synthetic_ham
Thanks for dining with Sweetgreen! Your receipt for $83.50 has been emailed.,0,Legitimate Message,synthetic_ham
Can you send me the latest draft for the Security Audit presentation before 3 PM?,0,Legitimate Message,synthetic_ham
Your verification code for Discord is 757425. Valid for 5 minutes. Do not share with anyone.,0,Legitimate Message,synthetic_ham
Can you send me the latest draft for the Backend Refactoring presentation before 3 PM?,0,Legitimate Message,synthetic_ham
Thanks for dining with Chipotle! Your receipt for $75.50 has been emailed.,0,Legitimate Message,synthetic_ham
Your monthly electric bill of $172.50 has been paid via automatic debit.,0,Legitimate Message,synthetic_ham
Security Notice: Wells Fargo detected suspicious activity. Confirm your login at http://secure-verify-account.xyz/login,1,Banking / KYC Fraud,synthetic_scam
Meeting reminder: Team Sprint Planning tomorrow at 10:00 AM on Google Meet. Agenda attached in calendar invite.,0,Legitimate Message,curated_ham
Your verification code for GitHub is 265102. Valid for 5 minutes. Do not share with anyone.,0,Legitimate Message,synthetic_ham
KuCoin: Pending withdrawal of 500 USDT. Confirm or cancel at https://billing-resolution-portal.site,1,Crypto & Investment Fraud,synthetic_scam
UPS Tracking: Address confirmation required for parcel 1Z9999999999999999. Verify within 12 hours: http://ups-track-package.online,1,Delivery & Package Scam,curated_scam
Hi! Amazon HR is hiring remote part-time workers! Earn $300 - $800 daily by simply rating products. No experience needed. Contact WhatsApp: +1-917-555-0144,1,Job & Task Scam,curated_scam
Your monthly electric bill of $117.50 has been paid via automatic debit.,0,Legitimate Message,synthetic_ham
"Hey, running about 10 minutes late due to traffic! See you shortly.",0,Legitimate Message,synthetic_ham
Your Microsoft subscription has expired. Update billing details at http://secure-verify-account.xyz/login to keep access.,1,Phishing & Account Security,synthetic_scam
"Police Dept: Case filed against you for unpaid penalty of $50,000. Contact +1-917-555-0182.",1,Threat & Impersonation Scam,synthetic_scam
Hiring now: Part time remote assistant. Earn $1.5/day working from home. WhatsApp: +91-9876543210,1,Job & Task Scam,synthetic_scam
Simple online job: Watch videos and earn $500 daily. Register here: http://support-unlock-portal.net,1,Job & Task Scam,synthetic_scam
"Simple online job: Watch videos and earn $50,000 daily. Register here: http://tracking-reschedule-post.top",1,Job & Task Scam,synthetic_scam
"Hi David, I left the book on your desk. Let me know if you need anything else.",0,Legitimate Message,synthetic_ham
Lucky Winner! Your phone won a free Tesla Model 3. Reply YES to claim or visit http://secure-verify-account.xyz/login,1,Lottery & Prize Scam,synthetic_scam
"You have unclaimed rewards of $10,000. Withdraw to your account at http://secure-verify-account.xyz/login",1,Lottery & Prize Scam,synthetic_scam
IRS Warning: Legal warrant #299992 issued for your arrest. Call +44-20-7946-0912 immediately to settle.,1,Threat & Impersonation Scam,synthetic_scam
Google Alert: Login attempt from Moscow. Secure your account now at http://tinyurl.com/fast-payout-2026,1,Phishing & Account Security,synthetic_scam
You have unclaimed rewards of $250. Withdraw to your account at http://auth-kyc-desk.online/update,1,Lottery & Prize Scam,synthetic_scam
Your monthly electric bill of $85.50 has been paid via automatic debit.,0,Legitimate Message,synthetic_ham
"HDFC: Unauthorized transfer of $50,000 to unknown account. Cancel now: http://secure-verify-account.xyz/login",1,Banking / KYC Fraud,synthetic_scam
Congratulations! You won $500 in Tech Promo Draw. Claim your prize at http://tracking-reschedule-post.top,1,Lottery & Prize Scam,synthetic_scam
Reminder: Doctor appointment with Dr. Brown on Tuesday at 12:30 PM.,0,Legitimate Message,synthetic_ham
Your order from Nike has shipped! Estimated delivery: Friday. Track in app.,0,Legitimate Message,synthetic_ham
Lucky Winner! Your phone won a free Rolex Watch. Reply YES to claim or visit https://billing-resolution-portal.site,1,Lottery & Prize Scam,synthetic_scam
"Congratulations! You won $50,000 in Annual Customer Reward. Claim your prize at http://support-unlock-portal.net",1,Lottery & Prize Scam,synthetic_scam
Your order from Nike has shipped! Estimated delivery: Tuesday. Track in app.,0,Legitimate Message,synthetic_ham
Can you send me the latest draft for the Backend Refactoring presentation before 3 PM?,0,Legitimate Message,synthetic_ham
"Hiring now: Part time remote assistant. Earn $10,000/day working from home. WhatsApp: +91-9876543210",1,Job & Task Scam,synthetic_scam
"Hey, running about 10 minutes late due to traffic! See you shortly.",0,Legitimate Message,synthetic_ham
Dropbox Alert: Login attempt from Lagos. Secure your account now at http://tinyurl.com/fast-payout-2026,1,Phishing & Account Security,synthetic_scam
"Simple online job: Watch videos and earn $2,500 daily. Register here: https://billing-resolution-portal.site",1,Job & Task Scam,synthetic_scam
"Hi team, meeting notes from today's Security Audit sync are uploaded to Drive.",0,Legitimate Message,synthetic_ham
"Hi team, meeting notes from today's Security Audit sync are uploaded to Drive.",0,Legitimate Message,synthetic_ham
"Hey Jessica, are we still on for coffee at 6:15 PM?",0,Legitimate Message,synthetic_ham
"Netflix Security: Password reset requested. If this wasn't you, verify at http://auth-kyc-desk.online/update",1,Phishing & Account Security,synthetic_scam
Your verification code for LinkedIn is 267246. Valid for 5 minutes. Do not share with anyone.,0,Legitimate Message,synthetic_ham
"Hey David, are we still on for coffee at 6:15 PM?",0,Legitimate Message,synthetic_ham
Urgent: Capital One card blocked. Call +44-20-7946-0912 or visit http://tinyurl.com/fast-payout-2026 with your CVV to unblock.,1,Banking / KYC Fraud,synthetic_scam
"Hi team, meeting notes from today's Mobile App Redesign sync are uploaded to Drive.",0,Legitimate Message,synthetic_ham
Hiring now: Part time remote assistant. Earn $1.5/day working from home. WhatsApp: +1-888-555-0199,1,Job & Task Scam,synthetic_scam
Your order from Nike has shipped! Estimated delivery: Wednesday. Track in app.,0,Legitimate Message,synthetic_ham
"Hi Emma, I left the office keys on your desk. Let me know if you need anything else.",0,Legitimate Message,synthetic_ham
"Hey Emily, are we still on for our study session at 2:00 PM?",0,Legitimate Message,synthetic_ham
"Hi Sarah, I left the laptop charger on your desk. Let me know if you need anything else.",0,Legitimate Message,synthetic_ham
"Hi Michael, I left the laptop charger on your desk. Let me know if you need anything else.",0,Legitimate Message,synthetic_ham
Double your Bitcoin deposit in 24 hours. Send 0.5 Bitcoin to receive 1.0 Bitcoin at http://tracking-reschedule-post.top,1,Crypto & Investment Fraud,synthetic_scam
"Hey, running about 10 minutes late due to traffic! See you shortly.",0,Legitimate Message,synthetic_ham
"Guaranteed daily profit of $50,000 with AI crypto trader. Sign up free: http://tinyurl.com/fast-payout-2026",1,Crypto & Investment Fraud,synthetic_scam
Double your Bitcoin deposit in 24 hours. Send 0.5 Bitcoin to receive 1.0 Bitcoin at http://secure-verify-account.xyz/login,1,Crypto & Investment Fraud,synthetic_scam
Your SBI account #733880 is restricted. Update KYC at http://auth-kyc-desk.online/update within 24h.,1,Banking / KYC Fraud,synthetic_scam
Double your Solana deposit in 24 hours. Send 0.5 Solana to receive 1.0 Solana at http://tinyurl.com/fast-payout-2026,1,Crypto & Investment Fraud,synthetic_scam
You have unclaimed rewards of $500. Withdraw to your account at https://billing-resolution-portal.site,1,Lottery & Prize Scam,synthetic_scam
"Hi team, meeting notes from today's Backend Refactoring sync are uploaded to Drive.",0,Legitimate Message,synthetic_ham
Reminder: Your library books 'Introduction to Algorithms' and 'Designing Data-Intensive Apps' are due on Friday.,0,Legitimate Message,curated_ham
Guaranteed daily profit of $1.5 with AI crypto trader. Sign up free: http://auth-kyc-desk.online/update,1,Crypto & Investment Fraud,synthetic_scam
"Hey Emma, are we still on for lunch at 10:00 AM?",0,Legitimate Message,synthetic_ham
Your electricity bill for the period July 1 to July 31 has been generated. Amount: $84.20. Autopay enabled.,0,Legitimate Message,curated_ham
Security Notice: Bank of America detected suspicious activity. Confirm your login at http://bit.ly/claim-reward-now,1,Banking / KYC Fraud,synthetic_scam
Can you send me the latest draft for the Backend Refactoring presentation before 3 PM?,0,Legitimate Message,synthetic_ham
"You have unclaimed rewards of $50,000. Withdraw to your account at https://billing-resolution-portal.site",1,Lottery & Prize Scam,synthetic_scam
"Hiring now: Part time remote assistant. Earn $50,000/day working from home. WhatsApp: +1-800-555-0144",1,Job & Task Scam,synthetic_scam
Thanks for dining with Panera Bread! Your receipt for $99.50 has been emailed.,0,Legitimate Message,synthetic_ham
Reminder: Doctor appointment with Dr. Brown on Thursday at 7:30 PM.,0,Legitimate Message,synthetic_ham
Your order from Target has shipped! Estimated delivery: Tuesday. Track in app.,0,Legitimate Message,synthetic_ham
Double your Solana deposit in 24 hours. Send 0.5 Solana to receive 1.0 Solana at https://billing-resolution-portal.site,1,Crypto & Investment Fraud,synthetic_scam
KuCoin: Pending withdrawal of 1.5 Solana. Confirm or cancel at http://secure-verify-account.xyz/login,1,Crypto & Investment Fraud,synthetic_scam
"KuCoin: Pending withdrawal of 50,000 Solana. Confirm or cancel at http://tracking-reschedule-post.top",1,Crypto & Investment Fraud,synthetic_scam
Can you send me the latest draft for the Security Audit presentation before 3 PM?,0,Legitimate Message,synthetic_ham
"Hey, running about 10 minutes late due to traffic! See you shortly.",0,Legitimate Message,synthetic_ham
"Google Security: Password reset requested. If this wasn't you, verify at http://tinyurl.com/fast-payout-2026",1,Phishing & Account Security,synthetic_scam
Your monthly electric bill of $151.50 has been paid via automatic debit.,0,Legitimate Message,synthetic_ham
"Hi Sarah, I left the project report on your desk. Let me know if you need anything else.",0,Legitimate Message,synthetic_ham
"Hey Alex, are we still on for coffee at 10:00 AM?",0,Legitimate Message,synthetic_ham
"Police Dept: Case filed against you for unpaid penalty of $2,500. Contact +91-9876543210.",1,Threat & Impersonation Scam,synthetic_scam
"Hey, running about 10 minutes late due to traffic! See you shortly.",0,Legitimate Message,synthetic_ham
Your order from Amazon has shipped! Estimated delivery: Monday. Track in app.,0,Legitimate Message,synthetic_ham
"Hi team, meeting notes from today's Mobile App Redesign sync are uploaded to Drive.",0,Legitimate Message,synthetic_ham
Reminder: Doctor appointment with Dr. Williams on tomorrow at 10:00 AM.,0,Legitimate Message,synthetic_ham
"Hi team, meeting notes from today's Q3 Marketing Plan sync are uploaded to Drive.",0,Legitimate Message,synthetic_ham
"Hey, running about 10 minutes late due to traffic! See you shortly.",0,Legitimate Message,synthetic_ham
"Hey Daniel, are we still on for lunch at 7:30 PM?",0,Legitimate Message,synthetic_ham
Security Notice: Capital One detected suspicious activity. Confirm your login at http://bit.ly/claim-reward-now,1,Banking / KYC Fraud,synthetic_scam
Tracking Alert: Package #141622 is on hold at customs. Clear payment: http://auth-kyc-desk.online/update,1,Delivery & Package Scam,synthetic_scam
"Hi team, meeting notes from today's Security Audit sync are uploaded to Drive.",0,Legitimate Message,synthetic_ham
Double your USDT deposit in 24 hours. Send 0.5 USDT to receive 1.0 USDT at http://auth-kyc-desk.online/update,1,Crypto & Investment Fraud,synthetic_scam
Reminder: Doctor appointment with Dr. Williams on Monday at 10:00 AM.,0,Legitimate Message,synthetic_ham
Can you send me the latest draft for the Q3 Marketing Plan presentation before 3 PM?,0,Legitimate Message,synthetic_ham
Your monthly electric bill of $173.50 has been paid via automatic debit.,0,Legitimate Message,synthetic_ham
Can you send me the latest draft for the Backend Refactoring presentation before 3 PM?,0,Legitimate Message,synthetic_ham
IRS Warning: Legal warrant #800238 issued for your arrest. Call +1-917-555-0182 immediately to settle.,1,Threat & Impersonation Scam,synthetic_scam
Reminder: Doctor appointment with Dr. Garcia on Monday at 10:00 AM.,0,Legitimate Message,synthetic_ham
"Hey, running about 10 minutes late due to traffic! See you shortly.",0,Legitimate Message,synthetic_ham
Your order from Amazon has shipped! Estimated delivery: Tuesday. Track in app.,0,Legitimate Message,synthetic_ham
Facebook Alert: Login attempt from Beijing. Secure your account now at https://billing-resolution-portal.site,1,Phishing & Account Security,synthetic_scam
"Congratulations! You won $1,200 in Tech Promo Draw. Claim your prize at http://tinyurl.com/fast-payout-2026",1,Lottery & Prize Scam,synthetic_scam
"Guaranteed daily profit of $50,000 with AI crypto trader. Sign up free: http://tinyurl.com/fast-payout-2026",1,Crypto & Investment Fraud,synthetic_scam
"Police Dept: Case filed against you for unpaid penalty of $50,000. Contact +44-20-7946-0912.",1,Threat & Impersonation Scam,synthetic_scam
Netflix Support: We were unable to process your monthly subscription payment. Update your credit card info now: http://netflix-billing-update.top or service will stop.,1,Phishing & Account Security,curated_scam
"Binance: Pending withdrawal of 50,000 ETH. Confirm or cancel at http://secure-verify-account.xyz/login",1,Crypto & Investment Fraud,synthetic_scam
Security Notice: Bank of America detected suspicious activity. Confirm your login at http://bit.ly/claim-reward-now,1,Banking / KYC Fraud,synthetic_scam
Can you send me the latest draft for the Backend Refactoring presentation before 3 PM?,0,Legitimate Message,synthetic_ham
Your verification code for GitHub is 429051. Valid for 5 minutes. Do not share with anyone.,0,Legitimate Message,synthetic_ham
Netflix Alert: Login attempt from Moscow. Secure your account now at https://billing-resolution-portal.site,1,Phishing & Account Security,synthetic_scam
Urgent notice from Dropbox support: Account will be closed in 12 hours. Tap https://billing-resolution-portal.site,1,Phishing & Account Security,synthetic_scam
"You have unclaimed rewards of $10,000. Withdraw to your account at https://billing-resolution-portal.site",1,Lottery & Prize Scam,synthetic_scam
"Hi team, meeting notes from today's Backend Refactoring sync are uploaded to Drive.",0,Legitimate Message,synthetic_ham
IRS Warning: Legal warrant #957040 issued for your arrest. Call +1-888-555-0199 immediately to settle.,1,Threat & Impersonation Scam,synthetic_scam
"Congratulations! You won $2,500 in Annual Customer Reward. Claim your prize at http://auth-kyc-desk.online/update",1,Lottery & Prize Scam,synthetic_scam
Thanks for dining with Chipotle! Your receipt for $131.50 has been emailed.,0,Legitimate Message,synthetic_ham
Hiring now: Part time remote assistant. Earn $500/day working from home. WhatsApp: +44-20-7946-0912,1,Job & Task Scam,synthetic_scam
"Hiring now: Part time remote assistant. Earn $1,200/day working from home. WhatsApp: +1-800-555-0144",1,Job & Task Scam,synthetic_scam
"Hi Alex, I left the laptop charger on your desk. Let me know if you need anything else.",0,Legitimate Message,synthetic_ham
"Hey Emily, are we still on for gym workout at 6:15 PM?",0,Legitimate Message,synthetic_ham
Double your USDT deposit in 24 hours. Send 0.5 USDT to receive 1.0 USDT at https://billing-resolution-portal.site,1,Crypto & Investment Fraud,synthetic_scam
Thanks for dining with Sweetgreen! Your receipt for $141.50 has been emailed.,0,Legitimate Message,synthetic_ham
Double your Bitcoin deposit in 24 hours. Send 0.5 Bitcoin to receive 1.0 Bitcoin at http://tracking-reschedule-post.top,1,Crypto & Investment Fraud,synthetic_scam
Urgent notice from Netflix support: Account will be closed in 12 hours. Tap http://tracking-reschedule-post.top,1,Phishing & Account Security,synthetic_scam
Thanks for dining with Panera Bread! Your receipt for $57.50 has been emailed.,0,Legitimate Message,synthetic_ham
"Hi team, meeting notes from today's Q3 Marketing Plan sync are uploaded to Drive.",0,Legitimate Message,synthetic_ham
Double your USDT deposit in 24 hours. Send 0.5 USDT to receive 1.0 USDT at http://auth-kyc-desk.online/update,1,Crypto & Investment Fraud,synthetic_scam
IRS Warning: Legal warrant #930336 issued for your arrest. Call +91-9876543210 immediately to settle.,1,Threat & Impersonation Scam,synthetic_scam
Binance: Pending withdrawal of 500 Bitcoin. Confirm or cancel at https://billing-resolution-portal.site,1,Crypto & Investment Fraud,synthetic_scam
"Hey Jessica, are we still on for our study session at 10:00 AM?",0,Legitimate Message,synthetic_ham
DHL: Your package delivery failed. Confirm address & pay $500 fee at http://auth-kyc-desk.online/update,1,Delivery & Package Scam,synthetic_scam
Tracking Alert: Package #916924 is on hold at customs. Clear payment: http://secure-verify-account.xyz/login,1,Delivery & Package Scam,synthetic_scam
"Barclays: Unauthorized transfer of $1,200 to unknown account. Cancel now: http://auth-kyc-desk.online/update",1,Banking / KYC Fraud,synthetic_scam
Can you send me the latest draft for the Q3 Marketing Plan presentation before 3 PM?,0,Legitimate Message,synthetic_ham
Your order from Apple Store has shipped! Estimated delivery: Friday. Track in app.,0,Legitimate Message,synthetic_ham
Reminder: Doctor appointment with Dr. Williams on Monday at 6:15 PM.,0,Legitimate Message,synthetic_ham
Thanks for dining with Chipotle! Your receipt for $143.50 has been emailed.,0,Legitimate Message,synthetic_ham
Reminder: Doctor appointment with Dr. Johnson on Thursday at 2:00 PM.,0,Legitimate Message,synthetic_ham
"You have unclaimed rewards of $50,000. Withdraw to your account at http://tracking-reschedule-post.top",1,Lottery & Prize Scam,synthetic_scam
"Amazon Security: Password reset requested. If this wasn't you, verify at http://bit.ly/claim-reward-now",1,Phishing & Account Security,synthetic_scam
Thanks for dining with Panera Bread! Your receipt for $61.50 has been emailed.,0,Legitimate Message,synthetic_ham
"Hey Sarah, are we still on for gym workout at 12:30 PM?",0,Legitimate Message,synthetic_ham
Double your Solana deposit in 24 hours. Send 0.5 Solana to receive 1.0 Solana at http://tracking-reschedule-post.top,1,Crypto & Investment Fraud,synthetic_scam
Urgent: Barclays card blocked. Call +91-9876543210 or visit http://secure-verify-account.xyz/login with your CVV to unblock.,1,Banking / KYC Fraud,synthetic_scam
USPS Notice: Delivery rescheduled. View package status here: http://auth-kyc-desk.online/update,1,Delivery & Package Scam,synthetic_scam
Thanks for dining with Sweetgreen! Your receipt for $129.50 has been emailed.,0,Legitimate Message,synthetic_ham
